0.00,0.00,0.00
194369621.00,296217224814.53,418605063944.17
481577465688.00,483166864269.60,689164646331.25
504115700373.25,499177740745.47,683579145422.08
520642257016.00,512213538178.93,692302490698.75
499072589736.00,508124060683.87,687174255561.25
374584402080.75,497445731464.53,696300776627.92
474229322623.50,465761616755.73,690471250501.25
627601728614.50,483012782654.93,648436057973.75
505065498606.25,492877583782.67,609088010600.00
596782020609.25,481672704432.00,521762092301.67
440653544774.50,522585235328.00,356740279851.25
382158925687.25,335041613396.80,180377024126.67
514916004914.75,117027078131.20,110903313753.33
544646224910.75,180205628219.07,117495989599.58
512819526298.00,161805230930.40,117205654975.00
481215074935.75,87816633385.20,124414729808.33
1154853722262.75,68030697761.07,107211975982.50
1051345818901.00,54888196382.27,122745775061.25
1110711809728.50,67935463955.33,62791873880.42
959430964635.00,47529866041.47,12453500455.83
821512444630.25,57576323136.40,1084642396.25
712756081965.00,50473935795.07,0.00
207972313515.75,48875211333.07,0.00
48058387510.75,57539436802.80,0.00
48770339401.50,62907381044.80,0.00
38365827326.50,61966401626.00,0.00
134734748843.50,59250423306.80,0.00
145563730405.50,46805923376.40,0.00
142799428472.75,53405040795.33,0.00
46999634856.00,55951106210.13,0.00
49613337938.50,54355820790.00,0.00
208006392192.75,77250934951.73,0.00
80362143589.50,57431447734.00,0.00
151714239213.50,51868703169.87,0.00
140095118398.50,36719740870.93,0.00
177590643182.00,50405559056.13,0.00
195243220924.25,49680395998.13,0.00
157652675192.00,34717160305.20,0.00
208693124978.00,41107249579.60,0.00
202597116037.50,27161570832.40,0.00
206854990616.25,2728667938.93,0.00
154317074221.75,366405763.07,0.00
160935456319.50,328432770.27,0.00
231394424359.00,394599304.67,0.00
111102173274.25,370340404.13,0.00
83785208075.50,275747823.20,0.00
37164480998.00,0.00,0.00
23095483027.25,0.00,0.00
32384681557.75,0.00,0.00
32293104136.50,0.00,0.00
115423370807.00,0.00,0.00
260192424660.50,0.00,0.00
439055695191.25,0.00,0.00
225260498697.75,0.00,0.00
126377952403.50,0.00,0.00
34968394665.75,0.00,0.00
46100669747.25,0.00,0.00
151279463943.25,0.00,0.00
97251508295.25,0.00,0.00
17562227141.75,0.00,0.00
311667414.25,0.00,0.00
259881265.00,0.00,0.00
230225585.00,0.00,0.00
0.00,0.00,0.00
