entityName,metricName,timestamp,value,,entityName,metricName,timestamp,value
HDFS,total_bytes_read_rate_across_datanodes,2015-06-08T18:07:33.920Z,5.63E+07,,HDFS,total_bytes_written_rate_across_datanodes,2015-06-08T18:07:33.920Z,33777.86667
HDFS,total_bytes_read_rate_across_datanodes,2015-06-08T18:08:33.920Z,2052124,,HDFS,total_bytes_written_rate_across_datanodes,2015-06-08T18:08:33.920Z,2.01E+08
HDFS,total_bytes_read_rate_across_datanodes,2015-06-08T18:09:33.920Z,2.01E+08,,HDFS,total_bytes_written_rate_across_datanodes,2015-06-08T18:09:33.920Z,0.933333333
HDFS,total_bytes_read_rate_across_datanodes,2015-06-08T18:10:33.920Z,1,,HDFS,total_bytes_written_rate_across_datanodes,2015-06-08T18:10:33.920Z,0.933333333
HDFS,total_bytes_read_rate_across_datanodes,2015-06-08T18:11:33.920Z,989128.0833,,HDFS,total_bytes_written_rate_across_datanodes,2015-06-08T18:11:33.920Z,3.10E+08
HDFS,total_bytes_read_rate_across_datanodes,2015-06-08T18:12:33.921Z,3.12E+08,,HDFS,total_bytes_written_rate_across_datanodes,2015-06-08T18:12:33.921Z,22827.48333
HDFS,total_bytes_read_rate_across_datanodes,2015-06-08T18:13:33.921Z,2045162.283,,HDFS,total_bytes_written_rate_across_datanodes,2015-06-08T18:13:33.921Z,2.01E+08
HDFS,total_bytes_read_rate_across_datanodes,2015-06-08T18:14:33.921Z,1.99E+08,,HDFS,total_bytes_written_rate_across_datanodes,2015-06-08T18:14:33.921Z,9.81E+07
HDFS,total_bytes_read_rate_across_datanodes,2015-06-08T18:15:33.921Z,1.98E+08,,HDFS,total_bytes_written_rate_across_datanodes,2015-06-08T18:15:33.921Z,1.03E+08
HDFS,total_bytes_read_rate_across_datanodes,2015-06-08T18:16:33.921Z,4314045.533,,HDFS,total_bytes_written_rate_across_datanodes,2015-06-08T18:16:33.921Z,2.01E+08
HDFS,total_bytes_read_rate_across_datanodes,2015-06-08T18:17:33.921Z,2.00E+08,,HDFS,total_bytes_written_rate_across_datanodes,2015-06-08T18:17:33.921Z,9710648.067
