GraphConstruction,GraphSimplification,EntirePipeline
SuperMikeII(32GBMem+1HDD):15DN[BaseLine],1,1,1
SwatIII-FullScaleup-SSD(256GBMemory+7SSD):2DN,1.8576655052,1.4181170483,1.5802
SwatIII-FullScaleup-HDD(256GBMemory+7HDD):2DN,1.9283972125,1.5273282443,1.6752
SwatIII-Medium-SSD(64GBMem+2SSD):7DN,0.8702090592,0.8850890585,0.8796
SwatIII-Medium-HDD(64GBMem+2HDD):7DN,1.0158536585,1.0769465649,1.054417
SwatIII-Basic-SSD(32GBMem+1SSD):15DN,0.5120209059,0.9626463104,0.796466
SwatIII-Basic-HDD(32GBMem+1HDD):15DN,1.064981,1.03805,1.04657
SwatIII-Memory(256GBMem+1SSD):15DN,0.3268292683,0.6528244275,0.532605
CeresII,0.9292682927,0.8930279898,0.9064
