GraphConstruction,GraphSimplification
SuperMikeII:128DN,1,1
SwatIII-FullScaleup-SSD:15DN,4.3555763847,5.3360524613
SwatIII-FullScaleup-HDD:15DN,4.5869419911,5.0393565381
