GraphConstruction,GraphSimplification
SuperMikeII:128DN,1,1
SwatIII-FullScaleup-SSD:15DN,1.1006585136,0.8984173721
SwatIII-FullScaleup-HDD:15DN,1.128148845,1.026867869
